sales_product_code,sales_product_name,product_group_code,product_group_name,price_product_code,price_product_name,mapping_type
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,P_бензин_автомобильный,Бензин автомобильный,keyword_within_group
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,P_бензин_автомобильный_марки_а_76_аи_80_л,"Бензин автомобильный марки А-76 (АИ-80), л",keyword_within_group
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,P_бензин_автомобильный_марки_аи_92_л,"Бензин автомобильный марки АИ-92, л",keyword_within_group
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,P_бензин_автомобильный_марки_аи_95_л,"Бензин автомобильный марки АИ-95, л",keyword_within_group
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,P_бензин_автомобильный_марки_аи_98_и_выше_л,"Бензин автомобильный марки АИ-98 и выше, л",keyword_within_group
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,P_дизельное_топливо_л,"Дизельное топливо, л",keyword_within_group
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",P_вермишель_кг,"Вермишель, кг",keyword_within_group
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",P_макаронные_изделия_из_пшеничной_муки_высшего_сорта_кг,"Макаронные изделия из пшеничной муки высшего сорта, кг",keyword_within_group
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",P_маргарин_кг,"Маргарин, кг",keyword_within_group
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_пастеризованное_2_5_3_2_жирности_л,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",keyword_within_group
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_стерилизованное_2_5_3_2_жирности_л,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",keyword_within_group
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,P_молоко_питьевое_цельное_ультрапастеризованное_2_5_3_2_жирности_л,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",keyword_within_group
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,P_кефир_кг,"Кефир, кг",keyword_within_group
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",P_мука_пшеничная_кг,"Мука пшеничная, кг",keyword_within_group
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",P_куры_охлажденные_и_мороженые_кг,"Куры охлажденные и мороженые, кг",keyword_within_group
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",P_баранина_кроме_бескостного_мяса_кг,"Баранина (кроме бескостного мяса), кг",keyword_within_group
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",P_говядина_кроме_бескостного_мяса_кг,"Говядина (кроме бескостного мяса), кг",keyword_within_group
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",P_свинина_кроме_бескостного_мяса_кг,"Свинина (кроме бескостного мяса), кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_капуста_белокочанная_свежая_кг,"Капуста белокочанная свежая, кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_лук_репчатый_кг,"Лук репчатый, кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_морковь_кг,"Морковь, кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_огурцы_свежие_кг,"Огурцы свежие, кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_помидоры_свежие_кг,"Помидоры свежие, кг",keyword_within_group
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",P_свекла_столовая_кг,"Свёкла столовая, кг",keyword_within_group
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",P_бананы_кг,"Бананы, кг",keyword_within_group
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",P_яблоки_кг,"Яблоки, кг",keyword_within_group
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",P_картофель_кг,"Картофель, кг",keyword_within_group
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",P_порошок_стиральный_кг,"Порошок стиральный, кг",keyword_within_group
S_сыры,сыры,G02,Молочная продукция и яйца,P_сыры_сычужные_твердые_и_мягкие_кг,"Сыры сычужные твердые и мягкие, кг",keyword_within_group
S_сыры,сыры,G02,Молочная продукция и яйца,P_сыры_твердые_полутвердые_и_мягкие_кг,"Сыры твердые, полутвердые и мягкие, кг",keyword_within_group
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",P_чай_черный_байховый_кг,"Чай черный байховый, кг",keyword_within_group
