group_code,group_name,product_name,forecast_year,selected_model,order,seasonal_order,calibration_type,validation_wape_before_calibration,validation_wape_after_calibration,WAPE_%,validation_to_test_wape_gap,MAE,RMSE,MAPE_%
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",2025,seasonal_naive,,,combined,2.72,2.15,24.91,22.77,24.81,25.84,25.73
G02,Молочная продукция и яйца,Молочные напитки,2024,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",combined,16.28,10.48,13.06,2.58,8.83,11.52,12.02
G02,Молочная продукция и яйца,Молоко питьевое,2025,seasonal_naive,,,none,2.02,2.02,8.72,6.7,11.65,11.92,8.66
G02,Молочная продукция и яйца,сыры,2025,seasonal_naive,,,additive,2.2,1.75,8.29,6.54,11.4,13.58,7.83
G04,"Овощи, фрукты и картофель",Свежий картофель,2025,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",additive,9.88,9.88,14.73,4.85,24.33,26.59,14.92
G04,"Овощи, фрукты и картофель",Свежие овощи,2025,sarimax,"(1, 1, 0)","(0, 0, 0, 4)",multiplicative,1.56,1.37,8.32,6.95,11.6,13.44,8.69
G04,"Овощи, фрукты и картофель",Свежие фрукты,2025,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",multiplicative,4.78,4.68,7.55,2.87,9.56,11.4,7.96
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,2025,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",none,5.01,5.01,21.81,16.81,27.19,27.39,22.07
G10,Топливо и транспортные товары,Газовое моторное топливо,2022,sarimax,"(0, 1, 1)","(1, 0, 0, 4)",additive,9.06,7.2,61.63,54.43,83.1,87.17,61.86
G10,Топливо и транспортные товары,Автомобили легковые,2025,seasonal_drift,,,multiplicative,8.4,8.07,41.7,33.62,66.88,71.85,43.17
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2024,seasonal_naive,,,combined,1.78,1.33,21.77,20.44,10.24,10.53,21.98
G10,Топливо и транспортные товары,Бензины автомобильные,2021,seasonal_drift,,,none,6.53,6.53,7.81,1.28,8.21,11.76,7.85
G10,Топливо и транспортные товары,Дизельное топливо,2022,sarimax,"(1, 1, 2)","(1, 0, 0, 4)",multiplicative,3.99,2.95,5.66,2.72,7.75,8.61,5.96
