group_code,group_name,period,products_count,actual_mean,forecast_mean,mean_error,mean_abs_error,total_abs_error,mape_percent
G02,Молочная продукция и яйца,2025Q4,3,136.59,133.8,-2.79,21.33,63.99,16.19
G02,Молочная продукция и яйца,2025Q3,3,123.79,125.86,2.07,19.58,58.73,18.88
G02,Молочная продукция и яйца,2025Q2,3,112.7,116.22,3.52,13.76,41.27,13.44
G02,Молочная продукция и яйца,2025Q1,3,121.18,120.74,-0.45,9.15,27.46,7.78
G02,Молочная продукция и яйца,2024Q4,1,85.68,64.24,-21.44,21.44,21.44,25.02
G02,Молочная продукция и яйца,2024Q2,1,57.67,64.24,6.57,6.57,6.57,11.39
G02,Молочная продукция и яйца,2024Q1,1,59.87,64.24,4.37,4.37,4.37,7.3
G02,Молочная продукция и яйца,2024Q3,1,67.18,64.24,-2.94,2.94,2.94,4.38
G04,"Овощи, фрукты и картофель",2025Q2,3,128.2,129.79,1.59,25.65,76.94,19.62
G04,"Овощи, фрукты и картофель",2025Q3,3,158.19,145.61,-12.58,12.58,37.75,6.75
G04,"Овощи, фрукты и картофель",2025Q1,3,128.57,126.62,-1.95,11.77,35.3,9.0
G04,"Овощи, фрукты и картофель",2025Q4,3,160.12,149.46,-10.66,10.66,31.97,6.72
G07,"Товары для дома, гигиены и бытовая химия",2025Q2,1,107.64,138.0,30.36,30.36,30.36,28.2
G07,"Товары для дома, гигиены и бытовая химия",2025Q4,1,147.0,177.35,30.35,30.35,30.35,20.65
G07,"Товары для дома, гигиены и бытовая химия",2025Q1,1,120.65,146.26,25.61,25.61,25.61,21.23
G07,"Товары для дома, гигиены и бытовая химия",2025Q3,1,123.27,145.7,22.43,22.43,22.43,18.2
G10,Топливо и транспортные товары,2022Q4,2,142.43,200.41,57.98,57.98,115.95,40.53
G10,Топливо и транспортные товары,2022Q3,2,145.15,196.11,50.96,50.96,101.91,37.56
G10,Топливо и транспортные товары,2022Q2,2,117.53,165.24,47.71,47.71,95.42,39.47
G10,Топливо и транспортные товары,2025Q3,1,182.71,272.0,89.29,89.29,89.29,48.87
G10,Топливо и транспортные товары,2025Q2,1,144.21,232.12,87.91,87.91,87.91,60.96
G10,Топливо и транспортные товары,2025Q1,1,133.52,199.53,66.01,66.01,66.01,49.43
G10,Топливо и транспортные товары,2022Q1,2,138.11,152.69,14.58,25.05,50.11,18.09
G10,Топливо и транспортные товары,2025Q4,1,181.16,205.47,24.32,24.32,24.32,13.42
G10,Топливо и транспортные товары,2021Q2,1,101.56,79.19,-22.37,22.37,22.37,22.03
G10,Топливо и транспортные товары,2024Q4,1,61.33,75.77,14.44,14.44,14.44,23.54
G10,Топливо и транспортные товары,2024Q2,1,34.48,43.88,9.4,9.4,9.4,27.28
G10,Топливо и транспортные товары,2024Q1,1,47.27,55.92,8.65,8.65,8.65,18.3
G10,Топливо и транспортные товары,2024Q3,1,45.14,53.62,8.48,8.48,8.48,18.79
G10,Топливо и транспортные товары,2021Q3,1,118.79,113.53,-5.25,5.25,5.25,4.42
G10,Топливо и транспортные товары,2021Q4,1,106.57,101.6,-4.97,4.97,4.97,4.66
G10,Топливо и транспортные товары,2021Q1,1,93.86,93.6,-0.26,0.26,0.26,0.28
