group_code,group_name,feature,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,mean_share_of_exog_contribution_pct
G01,"Хлеб, крупы, мука и макаронные изделия",stock_value_mean_thousand_rub,2,17.002479263136046,14.918844269802088,-3.9968028886505635e-15,50.33960642920813,43.495857703195576
G01,"Хлеб, крупы, мука и макаронные изделия",consumer_price_index,2,-11.023034612425482,9.866284415230425,-1.3031242751537775e-14,28.842609114405878,24.324412515500825
G01,"Хлеб, крупы, мука и макаронные изделия",income_index,2,8.473019876617585,6.770051061676057,-3.4416913763379853e-15,33.33228401465885,21.72546592534451
G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,2,-1.6207300375470364,2.3128222310704105,-3.3653635433950058e-15,11.197460088379822,10.454263855959084
G02,Молочная продукция и яйца,stock_value_mean_thousand_rub,4,28.92987354261788,26.40889372085299,-6.786238238021269e-15,124.96388328291859,55.67594148106036
G02,Молочная продукция и яйца,consumer_price_index,4,-9.23917459614388,8.497007703748592,5.429684479807406e-15,45.020100253107906,15.328313560353866
G02,Молочная продукция и яйца,income_index,4,3.4111465813743154,2.7255496707255187,-1.2802259252708836e-15,16.121110988897634,23.7888070410278
G02,Молочная продукция и яйца,stock_days_mean,4,-0.03699498329942644,0.9439228335062788,-8.456776945386935e-17,5.889683421265884,5.206937917557969
G03,"Мясо, птица, рыба и колбасные изделия",consumer_price_index,2,-30.56305331750891,26.74084481939656,-7.549516567451064e-15,100.55915357499715,44.81303721285052
G03,"Мясо, птица, рыба и колбасные изделия",stock_value_mean_thousand_rub,2,20.98591163896789,18.4141114219975,-5.10702591327572e-15,47.422532720070876,39.63913454252089
G03,"Мясо, птица, рыба и колбасные изделия",income_index,2,11.09145543902005,9.5331521145262,-4.274358644806853e-15,71.48917968942712,12.338301042336838
G03,"Мясо, птица, рыба и колбасные изделия",stock_days_mean,2,-0.15401473424472656,1.3569221693342537,-3.191891195797325e-16,4.566153505822785,3.209527202291758
G04,"Овощи, фрукты и картофель",stock_value_mean_thousand_rub,3,26.760883482657714,23.481366865460938,-5.8471745963591575e-15,110.47791254802534,40.60790735666366
G04,"Овощи, фрукты и картофель",consumer_price_index,3,-20.32789109814092,17.1467973856994,-7.84557604068444e-15,52.72696714520156,36.92781418478351
G04,"Овощи, фрукты и картофель",income_index,3,9.19866014210883,7.34984689849935,-3.589721112954673e-15,35.33915290404283,16.033774687025108
G04,"Овощи, фрукты и картофель",stock_days_mean,3,-3.837446442600785,3.1325888118205287,-7.716050021144838e-15,12.682670922707532,6.430503771527725
G05,"Бакалея, масло, сахар, чай, соль",stock_value_mean_thousand_rub,2,1.6476440543272437,14.666424605418126,-4.440892098500626e-16,37.37169248142674,54.01651564514061
G05,"Бакалея, масло, сахар, чай, соль",consumer_price_index,2,-7.547082189989727,6.925118363735783,-2.581268532253489e-15,19.32567377515699,24.71029509399479
G05,"Бакалея, масло, сахар, чай, соль",income_index,2,5.764944135868428,4.606263969148093,-2.2603446891977796e-15,35.123645419392936,18.127777447816673
G05,"Бакалея, масло, сахар, чай, соль",stock_days_mean,2,-0.8613518999453755,0.8937814360524687,-1.7503359872605984e-15,4.918085194862484,3.145411813047925
G07,"Товары для дома, гигиены и бытовая химия",consumer_price_index,1,-56.07945710381278,52.06023775430019,-3.907985046680551e-14,85.98397038774132,45.6101187488401
G07,"Товары для дома, гигиены и бытовая химия",stock_value_mean_thousand_rub,1,46.02919333306497,40.38836669481983,-8.881784197001252e-15,93.67970507157347,35.38436012751923
G07,"Товары для дома, гигиены и бытовая химия",income_index,1,16.66899097544311,13.318736612644027,-6.439293542825908e-15,51.76007494257832,11.668582102029323
G07,"Товары для дома, гигиены и бытовая химия",stock_days_mean,1,-10.258852569712367,8.374518644804049,-2.0872192862952943e-14,25.791250831234354,7.336939021611324
G10,Топливо и транспортные товары,stock_value_mean_thousand_rub,5,37.24795537185768,33.297176526745346,-2.824369091093825e-16,233.68338169661016,30.05246146180959
G10,Топливо и транспортные товары,consumer_price_index,5,-32.89547780339712,29.937747245895054,-1.7873250772124955e-14,139.5206849811062,27.806130029680453
G10,Топливо и транспортные товары,income_index,5,0.3498405604812371,14.937698701118677,2.2625579570809226e-15,98.79640493415398,24.232593184713515
G10,Топливо и транспортные товары,stock_days_mean,5,-13.030900940961555,10.61422752797407,-2.0006601739271052e-14,59.73402365509847,17.908815323796446
