feature,feature_readable,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_total_contribution_%
consumer_price_index,Индекс потребительских цен,3,-24.296666666666667,21.63,0.0,102.42,14.182490558120017
income_index,Индекс доходов населения,3,4.883333333333334,9.88,0.0,43.08,6.478178766261015
physical_volume_index,Индекс физического объема продаж,5,2.844000000000001,13.092000000000002,0.0,80.61,8.584242551405792
physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",10,3.2120000000000006,10.525,0.0,143.85,6.901096307175829
physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",10,1.2740000000000002,7.654999999999999,0.0,89.6,5.019277171632395
physical_volume_index_qoq,Прирост физического объема продаж,5,9.638,18.724,0.0,111.07,12.27706672261855
physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,5,-0.7660000000000003,21.496000000000002,0.0,140.49,14.09462861938733
physical_volume_vs_group,Физический индекс относительно группы,5,-3.218,3.41,0.0,19.39,2.235889634913974
physical_volume_vs_market,Физический индекс относительно рынка,4,-4.765,4.260000000000001,0.0,39.87,2.7932228283676044
stock_days_mean,Товарные запасы в днях,3,-8.916666666666666,7.28,0.0,52.78,4.773394880402853
stock_value_mean_thousand_rub,Товарные запасы в стоимостном выражении,2,38.62,34.56,0.0,100.75,22.660511959714647
