product_name,observations_used,first_train_period,last_train_period,forecast_start,forecast_end,backtest_mae,backtest_rmse,backtest_mape,backtest_wape,order,seasonal_order,selected_features,test_period,test_mae_2025,test_rmse_2025,test_mape_2025,test_wape_2025
Автомобили легковые,32,2017Q1,2024Q4,2025Q1,2025Q4,17.11784407353212,21.179912980371316,8.375574134606744,8.96951058893479,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,25.234187400020822,29.96040841153754,17.384647312267433,15.732059075949872
Бензины автомобильные,21,2017Q1,2024Q1,2024Q2,2025Q4,9.440685382286766,10.869416427059692,9.120899290416293,9.028335717316024,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,,,,,
Газовое моторное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,66.72040687549305,70.36845354942652,49.639932753206296,49.540158276902424,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,,,,,
Дизельное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,10.089162931973458,12.043918116848232,7.904305172756048,7.209336960254713,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,,,,,
"Консервы молочные, молочные составные сухие, сублимированные",32,2017Q1,2024Q4,2025Q1,2025Q4,7.745649260862617,7.82053894028857,6.283139131256385,6.303511968226597,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,26.03034729774865,27.029392904730088,27.149556231656437,26.132651794985435
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017Q1,2024Q4,2025Q1,2025Q4,9.484136158595478,9.654039003375035,21.751727195128183,20.155160435893453,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,,,,,
Макаронные изделия,32,2017Q1,2024Q4,2025Q1,2025Q4,3.407922403279912,3.7984342287957835,3.03140978213509,2.9776325605697,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,3.4423513059132134,3.769379955518714,3.030845544373563,2.938464199584511
Маргариновая продукция,32,2017Q1,2024Q4,2025Q1,2025Q4,9.848370777541081,10.043001464932424,11.687162858757683,11.746379496480227,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,8.555771996415245,8.603465022576666,10.595747277860735,10.481286812189902
Молоко питьевое,32,2017Q1,2024Q4,2025Q1,2025Q4,5.76362360645928,6.405742044128307,4.7644534291215495,4.725174586442775,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,8.970674477750723,9.676703313888341,6.609247663858815,6.713247145301131
Молочные напитки,32,2017Q1,2024Q4,2025Q1,2025Q4,5.299635515641379,5.9907318729686825,8.520897506133501,7.839830356358152,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,,,,,
Мука,32,2017Q1,2024Q4,2025Q1,2025Q4,3.770267631891379,4.96662962477094,3.4763411503592803,3.6814797555714693,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,3.9374106162772655,5.85044286946037,3.3938761271068483,3.766610039826136
Мясо домашней птицы,32,2017Q1,2024Q4,2025Q1,2025Q4,5.391007046787479,6.248696322940477,4.307405251644786,4.440090794744908,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,4.379519203819889,4.969245864880338,3.8681180791663836,3.7011747361065974
Мясо животных,32,2017Q1,2024Q4,2025Q1,2025Q4,1.2604261625852757,1.3856448727721111,1.2409784164661617,1.2187699376234626,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,3.3214840135275097,3.7241345245678756,3.2412569628336594,3.2434899276153213
Свежие овощи,32,2017Q1,2024Q4,2025Q1,2025Q4,5.34124837432973,6.330884866010713,3.6876851684703507,3.703373734339603,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,11.742047041176878,14.363244502615755,8.951657557589263,8.417645765265485
Свежие фрукты,32,2017Q1,2024Q4,2025Q1,2025Q4,18.631875465264066,19.930773480341756,13.73362042869546,13.849219873860033,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,12.812274737142403,16.228117833112965,11.216487613185931,10.117135540064542
Свежий картофель,32,2017Q1,2024Q4,2025Q1,2025Q4,13.140686823196777,15.279628076463398,10.323168163860174,9.582446219679374,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,31.981932144632715,33.03151777418714,19.997699944613498,19.361748196690208
Стиральные машины,32,2017Q1,2024Q4,2025Q1,2025Q4,8.864348139629772,12.364705758883792,5.259000881575597,5.8723118713951745,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,25.428298682968812,25.785777175153196,20.560594911919395,20.401369306661124
Чай,32,2017Q1,2024Q4,2025Q1,2025Q4,2.535972984067371,3.420696575253983,2.7364782106392305,2.506902126003784,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,4.5041281163915095,4.644167381119215,4.745195204412525,4.674733703262328
сыры,32,2017Q1,2024Q4,2025Q1,2025Q4,7.444281768739334,8.508492392640918,6.324486940803635,5.9926813878236045,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,2025Q1-2025Q4,9.588322744843026,13.351372484069664,6.287872042532294,6.975459666695577
